Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Diet_Type,Fitness_Goal,BMI_Category,Target_Label
54,Female,170.0,67.9,23.49,medium,vegetarian,gain,Normal,gain_Normal
42,Female,171.5,92.8,31.55,medium,non-vegetarian,maintain,Obese,maintain_Obese
21,Female,162.7,66.5,25.12,medium,non-vegetarian,lose,Overweight,lose_Overweight
48,Female,180.8,81.5,24.93,high,non-vegetarian,lose,Normal,lose_Normal
30,Female,160.3,78.1,30.39,medium,vegetarian,gain,Obese,gain_Obese
45,Female,160.4,63.0,24.49,medium,vegetarian,gain,Normal,gain_Normal
18,Female,167.4,41.3,14.74,low,vegetarian,maintain,Underweight,maintain_Underweight
40,Male,147.8,61.6,28.2,high,vegan,maintain,Overweight,maintain_Overweight
28,Female,154.9,74.7,31.13,high,vegan,gain,Obese,gain_Obese
26,Female,155.9,48.8,20.08,high,vegan,gain,Normal,gain_Normal
41,Male,179.7,66.6,20.62,medium,non-vegetarian,gain,Normal,gain_Normal
50,Female,165.7,48.6,17.7,medium,vegetarian,maintain,Underweight,maintain_Underweight
30,Female,159.6,71.7,28.15,high,non-vegetarian,gain,Overweight,gain_Overweight
27,Female,153.5,75.6,32.09,high,vegan,gain,Obese,gain_Obese
24,Female,159.0,65.6,25.95,low,vegan,maintain,Overweight,maintain_Overweight
35,Female,159.0,97.8,38.69,low,vegetarian,gain,Obese,gain_Obese
48,Female,164.9,54.1,19.9,high,non-vegetarian,lose,Normal,lose_Normal
44,Male,173.2,51.7,17.23,medium,vegan,gain,Underweight,gain_Underweight
18,Male,167.1,40.6,14.54,high,non-vegetarian,lose,Underweight,lose_Underweight
28,Female,151.7,73.0,31.72,low,vegetarian,maintain,Obese,maintain_Obese
18,Female,172.4,72.6,24.43,high,non-vegetarian,gain,Normal,gain_Normal
19,Male,163.8,65.5,24.41,high,vegetarian,lose,Normal,lose_Normal
49,Male,150.2,59.2,26.24,medium,non-vegetarian,gain,Overweight,gain_Overweight
20,Male,160.4,85.9,33.39,high,vegan,lose,Obese,lose_Obese
58,Male,168.4,43.6,15.37,high,vegan,maintain,Underweight,maintain_Underweight
47,Male,168.2,64.2,22.69,low,vegan,lose,Normal,lose_Normal
31,Female,158.2,79.2,31.65,low,vegan,lose,Obese,lose_Obese
34,Female,175.3,84.0,27.33,low,vegetarian,lose,Overweight,lose_Overweight
45,Male,156.6,65.4,26.67,low,non-vegetarian,maintain,Overweight,maintain_Overweight
25,Male,168.3,84.6,29.87,low,vegetarian,gain,Overweight,gain_Overweight
32,Female,160.2,67.2,26.18,high,vegan,gain,Overweight,gain_Overweight
18,Female,153.9,52.1,22.0,medium,vegan,gain,Normal,gain_Normal
44,Male,173.1,90.3,30.14,medium,non-vegetarian,gain,Obese,gain_Obese
31,Male,164.3,85.1,31.52,low,vegetarian,gain,Obese,gain_Obese
47,Female,168.6,60.3,21.21,medium,non-vegetarian,lose,Normal,lose_Normal
23,Male,168.6,93.1,32.75,medium,vegetarian,gain,Obese,gain_Obese
59,Female,164.6,93.5,34.51,high,vegan,gain,Obese,gain_Obese
56,Male,138.8,82.3,42.72,low,vegan,gain,Obese,gain_Obese
22,Female,165.9,65.5,23.8,medium,non-vegetarian,gain,Normal,gain_Normal
58,Male,165.9,40.2,14.61,medium,vegetarian,maintain,Underweight,maintain_Underweight
34,Female,162.8,75.4,28.45,high,vegan,gain,Overweight,gain_Overweight
59,Female,179.8,62.2,19.24,medium,non-vegetarian,maintain,Normal,maintain_Normal
28,Female,156.9,62.5,25.39,medium,vegan,maintain,Overweight,maintain_Overweight
25,Female,174.2,74.9,24.68,medium,vegetarian,lose,Normal,lose_Normal
40,Female,159.7,77.7,30.47,low,non-vegetarian,lose,Obese,lose_Obese
36,Female,166.0,84.5,30.66,high,vegan,lose,Obese,lose_Obese
44,Male,158.0,65.1,26.08,low,vegetarian,lose,Overweight,lose_Overweight
30,Female,161.1,48.0,18.49,low,vegetarian,lose,Underweight,lose_Underweight
54,Female,168.0,73.9,26.18,high,vegetarian,lose,Overweight,lose_Overweight
57,Female,165.1,66.5,24.4,high,vegetarian,lose,Normal,lose_Normal
23,Male,150.8,63.7,28.01,medium,vegan,lose,Overweight,lose_Overweight
38,Female,161.6,58.0,22.21,high,vegetarian,maintain,Normal,maintain_Normal
56,Female,163.4,76.1,28.5,high,vegetarian,gain,Overweight,gain_Overweight
23,Female,183.9,72.6,21.47,medium,vegetarian,gain,Normal,gain_Normal
53,Female,167.6,68.9,24.53,high,non-vegetarian,maintain,Normal,maintain_Normal
29,Female,145.8,69.6,32.74,high,non-vegetarian,gain,Obese,gain_Obese
56,Male,165.6,106.9,38.98,low,vegetarian,maintain,Obese,maintain_Obese
48,Female,163.1,74.5,28.01,high,vegetarian,lose,Overweight,lose_Overweight
25,Male,164.7,52.5,19.35,high,vegan,lose,Normal,lose_Normal
31,Male,176.4,81.3,26.13,high,vegetarian,lose,Overweight,lose_Overweight
52,Female,172.9,56.4,18.87,high,vegetarian,gain,Normal,gain_Normal
42,Female,179.0,49.0,15.29,high,non-vegetarian,gain,Underweight,gain_Underweight
51,Male,170.9,102.9,35.23,medium,vegetarian,lose,Obese,lose_Obese
21,Female,155.1,61.5,25.57,medium,vegetarian,gain,Overweight,gain_Overweight
58,Female,166.0,62.4,22.64,medium,vegan,gain,Normal,gain_Normal
18,Male,149.5,71.0,31.77,high,non-vegetarian,gain,Obese,gain_Obese
34,Female,154.4,77.1,32.34,medium,vegetarian,gain,Obese,gain_Obese
53,Female,155.8,93.2,38.4,medium,vegan,maintain,Obese,maintain_Obese
23,Female,157.2,65.2,26.38,high,non-vegetarian,lose,Overweight,lose_Overweight
41,Male,173.1,51.5,17.19,medium,non-vegetarian,maintain,Underweight,maintain_Underweight
38,Male,167.3,89.6,32.01,low,vegetarian,maintain,Obese,maintain_Obese
29,Male,148.9,72.8,32.84,medium,non-vegetarian,gain,Obese,gain_Obese
52,Female,167.6,81.7,29.09,medium,non-vegetarian,maintain,Overweight,maintain_Overweight
48,Male,152.6,50.2,21.56,medium,non-vegetarian,maintain,Normal,maintain_Normal
53,Male,170.2,74.5,25.72,low,non-vegetarian,maintain,Overweight,maintain_Overweight
42,Male,167.5,75.2,26.8,high,vegan,gain,Overweight,gain_Overweight
36,Male,158.2,73.5,29.37,medium,non-vegetarian,gain,Overweight,gain_Overweight
34,Male,167.9,59.3,21.04,high,vegan,maintain,Normal,maintain_Normal
57,Male,183.7,77.1,22.85,low,vegan,maintain,Normal,maintain_Normal
39,Female,153.1,79.8,34.04,high,vegan,lose,Obese,lose_Obese
38,Male,155.3,81.8,33.92,high,vegan,gain,Obese,gain_Obese
18,Female,176.6,57.7,18.5,medium,vegetarian,lose,Normal,lose_Normal
36,Female,174.6,76.2,25.0,high,vegan,lose,Overweight,lose_Overweight
32,Male,173.2,98.5,32.84,high,non-vegetarian,lose,Obese,lose_Obese
18,Male,162.5,58.7,22.23,high,vegetarian,maintain,Normal,maintain_Normal
49,Female,156.1,57.8,23.72,high,vegetarian,maintain,Normal,maintain_Normal
28,Female,164.2,75.1,27.85,high,vegan,gain,Overweight,gain_Overweight
35,Male,167.8,82.4,29.26,medium,vegetarian,lose,Overweight,lose_Overweight
59,Male,165.1,91.8,33.68,medium,vegan,lose,Obese,lose_Obese
59,Male,162.4,110.8,42.01,low,non-vegetarian,gain,Obese,gain_Obese
47,Male,171.3,57.1,19.46,low,non-vegetarian,lose,Normal,lose_Normal
44,Female,154.3,77.2,32.43,high,vegetarian,maintain,Obese,maintain_Obese
56,Female,162.8,80.7,30.45,low,non-vegetarian,lose,Obese,lose_Obese
36,Female,169.7,68.9,23.93,high,vegetarian,maintain,Normal,maintain_Normal
46,Female,156.5,47.3,19.31,medium,vegetarian,lose,Normal,lose_Normal
46,Female,160.5,82.8,32.14,medium,vegetarian,gain,Obese,gain_Obese
27,Female,167.1,51.3,18.37,high,vegan,lose,Underweight,lose_Underweight
34,Male,166.7,75.8,27.28,low,non-vegetarian,lose,Overweight,lose_Overweight
41,Male,156.2,72.3,29.63,medium,non-vegetarian,gain,Overweight,gain_Overweight
32,Female,165.6,52.9,19.29,low,non-vegetarian,lose,Normal,lose_Normal
40,Female,168.6,78.4,27.58,medium,non-vegetarian,gain,Overweight,gain_Overweight
39,Female,175.8,85.8,27.76,high,non-vegetarian,lose,Overweight,lose_Overweight
40,Male,151.2,55.9,24.45,low,vegetarian,maintain,Normal,maintain_Normal
41,Female,170.2,77.7,26.82,medium,vegetarian,maintain,Overweight,maintain_Overweight
52,Female,170.2,127.8,44.12,medium,non-vegetarian,lose,Obese,lose_Obese
59,Female,170.7,87.0,29.86,low,vegetarian,maintain,Overweight,maintain_Overweight
22,Female,174.5,79.8,26.21,high,vegan,gain,Overweight,gain_Overweight
49,Male,161.8,81.4,31.09,high,non-vegetarian,gain,Obese,gain_Obese
